Date,CPXR,HGK26.CMX,HGN26.CMX,HGU26.CMX
2025-05-06,22.38454818725586,4.965000152587891,4.986999988555908,5.007500171661377
2025-05-07,21.10710334777832,4.857999801635742,4.881499767303467,4.9029998779296875
2025-05-08,20.874841690063477,4.802000045776367,4.824999809265137,4.8460001945495605
2025-05-09,21.388004302978516,4.849999904632568,4.873000144958496,4.894499778747559
2025-05-12,21.2172794342041,4.820499897003174,4.843999862670898,4.864999771118164
2025-05-13,21.946823120117188,4.921999931335449,4.945499897003174,4.9664998054504395
2025-05-14,21.311574935913086,4.854000091552734,4.877500057220459,4.898499965667725
2025-05-15,21.706619262695312,4.877999782562256,4.89900016784668,4.91949987411499
2025-05-16,20.79047203063965,4.793499946594238,4.813000202178955,4.831999778747559
2025-05-19,21.508106231689453,4.874000072479248,4.893499851226807,4.912499904632568
2025-05-20,21.636146545410156,4.856500148773193,4.876500129699707,4.895999908447266
2025-05-21,21.55674171447754,4.870500087738037,4.888500213623047,4.906000137329102
2025-05-22,21.626220703125,4.875999927520752,4.894499778747559,4.912499904632568
2025-05-23,23.34734535217285,5.03249979019165,5.052499771118164,5.071499824523926
2025-05-27,22.220773696899414,4.94350004196167,4.964000225067139,4.983500003814697
2025-05-28,21.629199981689453,4.888000011444092,4.9095001220703125,4.929999828338623
2025-05-29,21.614309310913086,4.894499778747559,4.916500091552734,4.936999797821045
2025-05-30,21.78801155090332,4.890500068664551,4.910999774932861,4.931000232696533
2025-06-02,23.26694679260254,5.063000202178955,5.084000110626221,5.105000019073486
2025-06-03,23.33047103881836,5.040999889373779,5.063499927520752,5.0854997634887695
2025-06-04,23.63519287109375,5.089000225067139,5.110499858856201,5.131999969482422
2025-06-05,23.80293846130371,5.131999969482422,5.15500020980835,5.177000045776367
2025-06-06,23.03071403503418,5.05649995803833,5.079500198364258,5.101500034332275
2025-06-09,23.716583251953125,5.132500171661377,5.1545000076293945,5.17549991607666
2025-06-10,23.705665588378906,5.099999904632568,5.122000217437744,5.14300012588501
2025-06-11,22.629714965820312,5.013999938964844,5.038000106811523,5.060999870300293
2025-06-12,23.086299896240234,5.0345001220703125,5.057499885559082,5.078999996185303
2025-06-13,22.26345443725586,5.014999866485596,5.038000106811523,5.060999870300293
2025-06-16,22.93939781188965,5.043000221252441,5.065999984741211,5.089000225067139
2025-06-17,22.630706787109375,5.011499881744385,5.0345001220703125,5.057499885559082
2025-06-18,23.204416275024414,5.052999973297119,5.075500011444092,5.098499774932861
2025-06-20,22.996967315673828,5.0295000076293945,5.052499771118164,5.074999809265137
2025-06-23,23.58060073852539,5.046999931335449,5.06850004196167,5.090000152587891
2025-06-24,23.60243797302246,5.073500156402588,5.09499979019165,5.116499900817871
2025-06-25,23.851573944091797,5.120999813079834,5.14300012588501,5.164999961853027
2025-06-26,25.1746768951416,5.268499851226807,5.289999961853027,5.310999870300293
2025-06-27,25.11611557006836,5.270999908447266,5.292500019073486,5.314000129699707
2025-06-30,25.05358123779297,5.225500106811523,5.247499942779541,5.269000053405762
2025-07-01,24.9930362701416,5.245500087738037,5.267499923706055,5.2895002365112305
2025-07-02,26.01836395263672,5.347499847412109,5.369999885559082,5.392499923706055
2025-07-03,25.46053695678711,5.294000148773193,5.316500186920166,5.339000225067139
2025-07-04,,5.2154998779296875,,
2025-07-07,24.2446346282959,5.179500102996826,5.202000141143799,5.2245001792907715
2025-07-08,28.57126808166504,5.838500022888184,5.861499786376953,5.884500026702881
2025-07-09,29.11321258544922,5.59499979019165,5.606500148773193,5.618000030517578
2025-07-10,30.016456604003906,5.709499835968018,5.7220001220703125,5.735000133514404
2025-07-11,29.585678100585938,5.729000091552734,5.741000175476074,5.752999782562256
2025-07-14,29.064577102661133,5.678500175476074,5.690999984741211,5.703499794006348
2025-07-15,29.31073570251465,5.703499794006348,5.7154998779296875,5.728499889373779
2025-07-16,28.896833419799805,5.650000095367432,5.6620001792907715,5.673999786376953
2025-07-17,28.8521671295166,5.635499954223633,5.647500038146973,5.6595001220703125
2025-07-18,29.61644744873047,5.7270002365112305,5.738500118255615,5.750500202178955
2025-07-21,30.19908905029297,5.757500171661377,5.769499778747559,5.781499862670898
2025-07-22,31.178762435913086,5.8420000076293945,5.853499889373779,5.864500045776367
2025-07-23,32.19615173339844,5.934000015258789,5.945000171661377,5.954999923706055
2025-07-24,32.29441452026367,5.927999973297119,5.940000057220459,5.950500011444092
